"ZONE","PAYS","VILLE","UNIVERSITE PARTENAIRE OFFRE DE SÉJOUR","Cadre / Type de mobilité","Nombre places","Commentaires pour les étudiants
Les informations sont données à titre indicatif. Elles peuvent être modifiées par l'université d'accueil au moment de l'établissement du dossier d'inscription.","Category (indicative) C1/C2/C3","ANGLAIS","Langue Locale","DEPART E4","DEPART E5","DEPART en E4
pour le 1er semestre E4","DEPART en E4
pour le 2e semestre E4","DEPART en E5
pour le 1e semestre E5","AIC","BIO","CYB","DSIA","ENE","GI","INF","SE","SEI","Parcours MGT en 5e année","DEPART Apprentis pour le 1e semestre E5","FE","FG","FI","FR","FT","Parcours MGT"
"EUROPE","POLOGNE","WROCLAW","WROCLAW UNIVERSITY OF SCIENCE AND  TECHNOLOGY","Erasmus+ Etudes (SMS)","4","Les cours sont enseignés en langue anglaise, le niveau minimum d'anglais requis est B2.","C2","OUI","","OUI","OUI","","OUI","OUI","OUI","OUI","OUI","OUI","OUI","","OUI","OUI","OUI","","OUI","OUI","","OUI","OUI","OUI",""
"EUROPE","PORTUGAL","FARO","UNIVERSIDADE DO ALGARVE","Erasmus+ Etudes (SMS)","2","Pour les cours enseignés en langue anglaise, le niveau minimum d'anglais requis est B1.
Pour les cours enseignés en langue portugaise, le niveau minimum de portugais requis est B1. INF : Informatique (cours en anglais et en portugais)
ENE : Master in Urban Water Cycle (cours en anglais et en portugais)
Autres: en Portugais si trop peu d'élèves Erasmus+","C3","OUI","POR","OUI","OUI","OUI","OUI","OUI","OUI","","","OUI","OUI","","OUI","","OUI","","OUI","","","OUI","","OUI",""
"EUROPE","PORTUGAL","PORTO","UNIVERSIDADE DO PORTO
Faculty of Engineering","Erasmus+ Etudes (SMS)","2","Pour les cours enseignés en langue anglaise, le niveau minimum d'anglais requis est B2.
Pour les cours enseignés en langue portugaise, le niveau minimum de portugais requis est B2.","C3","OUI","POR","OUI","OUI","OUI","OUI","OUI","","","","","OUI","","","OUI","OUI","","OUI","OUI","","","","OUI",""
"EUROPE","RÉPUBLIQUE TCHÈQUE","BRNO","BRNO UNIVERSITY OF TECHNOLOGY - FEEC
Faculty of Electrical Engineering and Communication","Erasmus+ Etudes (SMS)","8","Les cours sont enseignés en langue anglaise, le niveau minimum d'anglais requis est B2.","C3","OUI","","OUI","OUI","","OUI","OUI","","","","","OUI","","","OUI","OUI","","OUI","OUI","","","","OUI",""
"EUROPE","RÉPUBLIQUE TCHÈQUE","BRNO","BRNO UNIVERSITY OF TECHNOLOGY - FIT
Faculty of Information Technology","Erasmus+ Etudes (SMS)","5","Les cours sont enseignés en langue anglaise, le niveau minimum d'anglais requis est B2.","C3","OUI","","OUI","OUI","","OUI","OUI","OUI","","OUI","OUI","","","OUI","OUI","","","OUI","OUI","","OUI","OUI","",""
"EUROPE","RÉPUBLIQUE TCHÈQUE","BRNO","BRNO UNIVERSITY OF TECHNOLOGY - FME
Faculty of Mechanical Engineering","Erasmus+ Etudes (SMS)","2","Les cours sont enseignés en langue anglaise, le niveau minimum d'anglais requis est B2.","C3","OUI","","OUI","OUI","","OUI","OUI","","","","","OUI","OUI","","","","","OUI","","OUI","","","OUI",""
"EUROPE","RÉPUBLIQUE TCHÈQUE","BRNO","MASARYK UNIVERSITY","Erasmus+ Etudes (SMS)","2","Les cours sont enseignés en langue anglaise, le niveau minimum d'anglais requis est B2.","C2","OUI","","OUI","OUI","OUI","OUI","OUI","OUI","","OUI","OUI","","","OUI","OUI","","","OUI","OUI","","OUI","OUI","",""
"EUROPE","RÉPUBLIQUE TCHÈQUE","PILSEN","UNIVERSITY OF WEST BOHEMIA PILSEN
Faculty of Applied Sciences","Erasmus+ Etudes (SMS)","5","Les cours sont enseignés en langue anglaise, le niveau minimum d'anglais requis est B1/B2.","C3","OUI","","OUI","OUI","","OUI","OUI","OUI","OUI","","OUI","","","OUI","","","","OUI","","","OUI","","",""
"EUROPE","RÉPUBLIQUE TCHÈQUE","PILSEN","UNIVERSITY OF WEST BOHEMIA PILSEN
Faculty of Electrical Engineering","Erasmus+ Etudes (SMS)","8","Les cours sont enseignés en langue anglaise, le niveau minimum d'anglais requis est B1/B2.","C3","OUI","","OUI","OUI","","OUI","OUI","","","","","OUI","","","OUI","OUI","","OUI","OUI","","OUI","OUI","OUI",""
"EUROPE
EUROPE","ROUMANIE","TIMISOARA","UNIVERSITATEA POLITEHNICA DIN TIMISOARA","Erasmus+ Etudes (SMS)","4","Les cours sont enseignés en langue anglaise, le niveau minimum d'anglais requis est B1.","C3","OUI","","OUI","OUI","","OUI","OUI","OUI","OUI","OUI","OUI","","","OUI","OUI","OUI","","OUI","OUI","","OUI","OUI","",""
"","ROYAUME-UNI","EDIMBOURG","HERIOT-WATT UNIVERSITY - Edinburgh Campus","Accord spécifique / MoA","non limité","Programme payant : réduction sur le tarif public d'un semestre de M.Sc. Le code de réduction est
fourni par le partenaire.
TOEFL ou IELT obligatoire pour les programmes de la school of management Anglais niveau B2 requis. Les attestations de langues ANGLAIS - Niveau B2 suffisent","C2","OUI","","","OUI","","","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI",""
"EUROPE","ROYAUME-UNI","LES ILES DES ORCADES","HERIOT-WATT UNIVERSITY - Orkney Campus","Accord spécifique / MoA","non limité","Master ""Renewable Energy"" et ""Marine Renewable Energy""
Programme payant avec une réduction sur le tarif public d'un semestre de M.Sc., code de réduction fourni par le partenaire
Anglais niveau B2 requis. Les attestations de langues ANGLAIS - Niveau B2 suffisent","C3","OUI","","","OUI","","","OUI","","","","","OUI","","","","","","OUI","","","","","OUI",""
"EUROPE","SLOVAQUIE","BRATISLAVA","COMENIUS UNIVERSITY IN BRATISLAVA
Faculty of Management","Erasmus+ Etudes (SMS)","3","Les cours sont enseignés en langue anglaise, le niveau minimum d'anglais requis est B1.","C3","OUI","","","OUI","","","OUI","MGT","MGT","MGT","MGT","MGT","MGT","MGT","MGT","MGT","OUI","OUI","MGT","MGT","MGT","MGT","MGT","OUI"
"EUROPE","SUÈDE","SUNDSVALL","MID SWEDEN UNIVERSITY","Erasmus+ Etudes (SMS)","2","Les cours sont enseignés en langue anglaise, le niveau minimum d'anglais requis est B2. Choisir les programmes du campus Sundsvall","C2","OUI","","","OUI","","","OUI","","","","","","","OUI","","","","OUI","","","OUI","","",""
"EUROPE","SUÈDE","SUNDSVALL","MID SWEDEN UNIVERSITY","Erasmus+ Etudes (SMS)","2","Les cours sont enseignés en langue anglaise, le niveau minimum d'anglais requis est B2. Choisir les programmes du campus Sundsvall","C2","OUI","","","OUI","","","OUI","","","","","OUI","","","OUI","OUI","","OUI","OUI","","","","OUI",""
"EUROPE","TURQUIE","BILKENT","BILKENT UNIVERSITY","Erasmus+ Etudes (SMS)","8","Les cours sont enseignés en langue anglaise, le niveau minimum d'anglais requis est B2.","C3","OUI","","OUI","OUI","OUI","","OUI","OUI","","OUI","OUI","","","OUI","OUI","","","OUI","OUI","","OUI","OUI","",""
"EUROPE","TURQUIE","ISTANBUL","ISTANBUL TECHNICAL UNIVERSITY","Erasmus+ Etudes (SMS)","2","Les cours sont enseignés en langue anglaise, le niveau minimum d'anglais requis est B1.
- Electronics and Communications Engineering (2 places)","C2","OUI","","OUI","OUI","","OUI","OUI","","","","","","","","","OUI","","OUI","OUI","","","","",""
"EUROPE","TURQUIE","ISTANBUL","ISTANBUL TECHNICAL UNIVERSITY","Erasmus+ Etudes (SMS)","3","Les cours sont enseignés en langue anglaise, le niveau minimum d'anglais requis est B1.
- Information and Communications Engineering (2 places)
- Cybersecurity Engineering and Cryptography (1 place)","C2","OUI","","OUI","OUI","","OUI","OUI","OUI","OUI","OUI","OUI","","","OUI","","","","OUI","","","OUI","OUI","",""
"EUROPE","TURQUIE","IZMIR","DOKUZ EYLUL UNIVERSITY 
Faculty of Engineering - Department of Mechanical  Engineering and Energy","Erasmus+ Etudes (SMS)","2","Pour les cours enseignés en langue turque, le niveau minimum de turque requis est B1. Pour les cours enseignés en langue anglaise, le niveau minimum d'anglais requis est B1.","C2","OUI","TR","","OUI","","","OUI","","","","","OUI","OUI","OUI","OUI","OUI","","OUI","OUI","OUI","OUI","","OUI",""
"EUROPE","TURQUIE","IZMIR","IZMIR INSTITUTE OF TECHNOLOGY İYTE","Erasmus+ Etudes (SMS)","4","Pour les cours enseignés en langue turque, le niveau minimum de turque requis est B1. Pour les cours enseignés en langue anglaise, le niveau minimum d'anglais requis est B1.","C2","OUI","TR","","OUI","","","OUI","","OUI","","","OUI","","OUI","OUI","OUI","","OUI","OUI","","OUI","","OUI",""
"EUROPE","TURQUIE","IZMIR","YASAR UNIVERSITESI","Erasmus+ Etudes (SMS)","2","Pour les cours enseignés en langue turque, le niveau minimum de turque requis est B1. Pour les cours enseignés en langue anglaise, le niveau minimum d'anglais requis est B2.","C3","OUI","TR","OUI","OUI","OUI","OUI","OUI","OUI","","OUI","OUI","OUI","OUI","OUI","OUI","OUI","","OUI","OUI","OUI","OUI","OUI","OUI",""
"MOYEN-ORIENT","EMIRATS ARABES UNIS","DUBAI","HERIOT-WATT UNIVERSITY - Dubai Campus","Accord spécifique / MoA","non limité","Programme payant : 1 semestre = reduction sur le tarif annuel public,  code de réduction fourni par le partenaire - Test de TOEFL nécessaire pour les cours de la school of management.
Anglais niveau B2 requis. Les attestations de langues ANGLAIS - Niveau B2 suffisent","C3","OUI","","","OUI","","","OUI","OUI","","OUI","OUI","OUI","OUI","OUI","","","OUI","OUI","","OUI","OUI","OUI","OUI",""
